device,fullVisitorId,visitId,transactions,revenue_usd
desktop,4132432278764632576,1485880579,2,2485.97
desktop,9338374006954760146,1483637514,1,1942.0
desktop,4984366501121503466,1483653271,1,1633.42
desktop,7117209037706583763,1485564412,1,1534.41
desktop,3697825790083716939,1485299389,1,1519.81
desktop,1131086328893373855,1484776178,1,1498.5
desktop,7284466025557220497,1483670493,1,1421.55
desktop,2208179340101029302,1484774664,1,1350.7
desktop,7266506425665550772,1483985944,1,1308.59
desktop,513403330506317388,1484058394,1,1272.45
desktop,155711517942843047,1484012596,1,1245.6
desktop,9089132392240687728,1484067708,1,1229.56
desktop,1814166460229302850,1484275199,1,1190.88
desktop,9089132392240687728,1485737724,1,1157.8
desktop,7638336411447332495,1485447665,2,1077.0
desktop,8637126764947849416,1483642129,1,1019.5
desktop,9974232250427988367,1483725863,1,994.65
desktop,9519453598438934808,1485117971,1,956.55
desktop,7311242886083854158,1484605745,1,920.16
desktop,4076862635585033778,1484077031,1,911.2
desktop,4387148615014504940,1485275995,1,904.27
desktop,6147396474895233852,1485879620,1,893.62
desktop,9029794295932939024,1484559404,1,888.57
desktop,1740516675967625074,1484791498,1,878.9
desktop,119870259714905967,1484074929,1,865.7
desktop,4655715907193364487,1485573654,1,803.44
desktop,4677742971872821654,1484927958,1,796.7
desktop,9457643087878203141,1483718050,1,796.35
desktop,0432606793105704004,1485327772,1,701.8
desktop,199097744636621972,1484701819,1,678.05
desktop,088945266147609238,1483477140,2,673.87
desktop,6213994431207095726,1483471291,1,663.8
desktop,372706149688864468,1484942330,2,612.3
desktop,0211986650009953276,1483568879,1,599.95
desktop,7168226225550508027,1485452166,1,593.91
desktop,3499571954427096935,1484690576,1,587.0
desktop,6010250598436085923,1484752541,1,570.26
desktop,3114573633240274987,1484795003,1,567.03
desktop,7292983953762980102,1485893759,1,559.0
desktop,1774756696067199606,1483925055,1,558.85
desktop,5179586107192059934,1484342612,1,558.25
desktop,8485421393652582878,1485886991,1,548.39
desktop,5253470416041507964,1483624657,1,539.8
desktop,1600149537033335850,1484236611,1,524.34
desktop,6569964390858147530,1485909879,1,501.9
desktop,0608915197735218105,1484346392,1,501.84
desktop,4527632410179600927,1483893503,1,499.3
desktop,032685444859747984,1485389275,1,469.87
desktop,7199611745811583535,1483554305,1,463.6
desktop,7638200261989402480,1484849588,1,431.1
desktop,6165745649694489775,1483310116,1,425.07
desktop,7394010699967893588,1485208911,1,419.85
desktop,2546464604912220860,1485014740,1,416.8
desktop,2020115174591875878,1485900459,1,407.3
desktop,7001424081538361044,1485377315,1,406.49
desktop,2546464604912220860,1484363668,1,402.09
desktop,8204948786772799314,1485358707,1,401.07
desktop,867222691898422653,1485213275,1,399.6
desktop,4314863785819790681,1484683725,1,390.95
desktop,3073854849237490517,1485282163,1,387.77
desktop,7292983953762980102,1485184673,1,383.7
desktop,4038361093830077975,1485803736,1,374.74
desktop,4776430236860680101,1484553729,1,370.25
desktop,2751071784203497950,1485805440,1,369.8
desktop,9122350425856868704,1485196771,1,358.72
desktop,3826933837621771483,1483539782,1,350.0
desktop,6110976865163605905,1485796019,1,347.43
desktop,1724440306318274648,1483630921,1,346.32
desktop,8197879643797712877,1483371238,1,338.13
desktop,7311242886083854158,1483729063,1,337.0
desktop,5017076577058711324,1483978646,1,335.4
desktop,6849604863010168468,1483566314,1,335.26
desktop,200523063890471612,1485738200,1,333.04
desktop,5343854079752182770,1485806049,1,324.92
desktop,8436426603099391262,1485890093,2,306.84
desktop,0199756139590139879,1485791810,2,299.55
desktop,3841458002774357152,1483716636,1,299.5
desktop,2170187207466627823,1484028859,1,289.92
desktop,7435052038545127483,1484794049,1,289.37
desktop,2196696088271959039,1484073248,1,280.5
desktop,7435052038545127483,1484689887,1,279.37
desktop,0540193727116110682,1485278166,1,271.7
desktop,1807168875830631146,1484164074,1,268.74
desktop,5949169854058758957,1484019497,1,268.42
desktop,1759779356678951325,1485467514,1,264.79
desktop,5590743844926892757,1485799306,1,259.88
desktop,0608915197735218105,1485467658,1,259.37
desktop,4548986347672972514,1484696055,1,254.85
desktop,6958136256460936943,1484864697,1,251.65
desktop,6986536761307654836,1485834064,1,251.24
desktop,0290663072707523580,1484344382,1,244.3
desktop,1591673974231051081,1483487862,1,243.16
desktop,7788388085759905895,1483990544,1,239.6
desktop,661947368755840479,1485458220,1,236.79
desktop,6288725097585538705,1483984289,1,231.03
desktop,5590743844926892757,1484186324,1,230.93
desktop,8156693537451506265,1484267392,1,228.45
desktop,5541311886379272019,1484254964,1,224.85
desktop,0199117534740864877,1483672623,1,223.6
desktop,3697825790083716939,1483735263,1,215.97
desktop,7638336411447332495,1485531717,1,211.8
desktop,4660460246407615039,1485797757,1,209.85
desktop,1636432037261130042,1483487213,1,207.14
desktop,2020115174591875878,1484322843,1,203.9
desktop,6676417252598129629,1485529230,1,201.15
desktop,3716528607664189498,1485200321,1,200.95
desktop,995837089950996818,1484194918,1,200.66
desktop,2838394030048546223,1485283949,1,199.9
desktop,0688527857109237010,1485535462,1,199.9
desktop,5920338215143617287,1485361941,1,199.8
desktop,9884208408379950496,1484977699,1,194.91
desktop,4758916657085060917,1484002795,1,191.7
desktop,2751071784203497950,1484074173,1,191.64
desktop,0463325773564352787,1485475748,1,191.17
desktop,870106544594907327,1485917307,1,191.14
desktop,0765966183501214400,1483730247,1,183.88
desktop,700225401855286769,1485443740,1,179.16
desktop,24304007537579808,1484770320,1,177.99
desktop,9519453598438934808,1485897066,1,177.55
desktop,2272979836636092591,1483567448,1,175.8
desktop,6165745649694489775,1485194137,1,175.6
desktop,6773504129316656025,1484687617,1,167.7
desktop,2499407186380266291,1484633704,1,167.15
desktop,4019823049713520813,1483655389,1,166.61
desktop,2590629993785032145,1483711901,1,166.31
desktop,4815752337215431060,1485121900,1,166.23
desktop,7254480785524182260,1484760650,1,164.84
desktop,9670996124580137796,1483578939,1,159.98
desktop,2838394030048546223,1484153831,1,159.92
desktop,2838394030048546223,1484073717,1,159.92
desktop,072595322994470645,1483474149,1,159.75
desktop,1078162902479144133,1484079124,1,157.44
desktop,527903113421923907,1485891169,1,156.68
desktop,9710480501909231921,1483562473,1,155.97
desktop,0718076753301188235,1483893162,1,155.92
desktop,9898247421236738052,1485905514,1,154.36
desktop,6450328915033226096,1483467949,3,151.9
desktop,5112948888194419112,1484793219,1,151.35
desktop,5040013333654434796,1485200004,1,149.88
desktop,3593099441368037638,1483729717,1,147.79
desktop,2513134404212328094,1484341012,1,146.94
desktop,7939213367478794488,1484091697,1,145.99
desktop,0810563443947477001,1483315785,1,145.52
desktop,0134817585377058947,1484860279,1,145.45
desktop,4412900685343047350,1483721228,1,143.97
desktop,320170113964429981,1483989876,1,143.82
desktop,6855973837181242337,1485751300,1,142.77
desktop,6214611984259283021,1483643204,1,140.91
desktop,5530375638871034769,1483708557,1,139.98
desktop,2591017631506070831,1483561743,1,135.92
desktop,029131400687020410,1483470881,1,134.32
desktop,6022725401734649731,1485389814,1,131.96
desktop,070893140406305841,1484674322,1,131.85
desktop,0608915197735218105,1484071431,1,130.36
desktop,1413300845517352724,1483354066,1,126.37
desktop,9378433426283964191,1485559520,1,125.54
desktop,0216379390200329933,1484334309,1,124.77
desktop,3500249170758628509,1484973095,1,124.76
desktop,5110323247811742778,1484120431,1,122.36
desktop,6726207842188370716,1483681849,1,121.56
desktop,0081840705529000272,1483557886,1,119.96
desktop,4166421942719145577,1485885179,1,119.96
desktop,9944482549138933048,1484842504,1,119.85
desktop,648777904915125343,1485300239,1,118.91
desktop,0047868538532140235,1484744069,1,117.94
